explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
0.0,138,1,1.7891219854354858,0.3302958905696869,160,0.0486602708697319
0.0,233,2,1.789102554321289,0.7705415487289429,320,0.40147390961647034
-1.1920928955078125e-07,306,3,1.7890126705169678,0.4101789891719818,480,0.14170381426811218
3.4570693969726562e-06,346,4,1.7887275218963623,0.29158246517181396,640,0.060043394565582275
1.7881393432617188e-07,363,5,1.7883784770965576,0.2775031328201294,800,0.06932621449232101
0.0,392,6,1.7880780696868896,0.41388899087905884,960,0.180687814950943
-1.1920928955078125e-07,404,7,1.787862777709961,0.5006482601165771,1120,0.3129757046699524
0.0,415,8,1.7875258922576904,0.7969992160797119,1280,0.423481285572052
1.1920928955078125e-07,428,9,1.786964774131775,0.041787777096033096,1440,0.01978166773915291
0.0,443,10,1.7863718271255493,0.359029620885849,1600,0.2863897979259491
0.0,449,11,1.7856041193008423,0.5535292029380798,1760,0.4170675277709961
0.0,460,12,1.784478783607483,-0.06647013127803802,1920,0.2742935121059418
-1.1920928955078125e-07,472,13,1.7844547033309937,0.03164219856262207,2080,0.16651085019111633
1.8656253814697266e-05,482,14,1.7844226360321045,-0.28767135739326477,2240,0.35079526901245117
0.0,490,15,1.7844183444976807,0.012325765565037727,2400,0.09456230700016022
-1.1920928955078125e-07,497,16,1.7844288349151611,-0.24964241683483124,2560,0.23523589968681335
1.0848045349121094e-05,505,17,1.784398078918457,-0.20522207021713257,2720,0.26349765062332153
0.0,510,18,1.7843592166900635,0.09819822758436203,2880,0.3907580077648163
0.0,516,19,1.7843459844589233,0.19197209179401398,3040,0.16626617312431335
0.0,523,20,1.7843530178070068,-0.04207397997379303,3200,0.08241627365350723
2.4557113647460938e-05,528,21,1.784368872642517,-0.2650928199291229,3360,0.3539206087589264
1.1920928955078125e-06,533,22,1.7843751907348633,-0.013537834398448467,3520,0.15980315208435059
0.0,538,23,1.7843860387802124,-0.1711958348751068,3680,0.24351665377616882
0.0,542,24,1.7843725681304932,-0.059057898819446564,3840,0.07283014804124832
-1.1920928955078125e-07,547,25,1.784360647201538,0.14147797226905823,4000,0.15318091213703156
1.1146068572998047e-05,550,26,1.784354567527771,-0.15565559267997742,4160,0.43043431639671326
-1.1920928955078125e-07,554,27,1.784336805343628,0.08177842199802399,4320,0.1277693212032318
0.0,557,28,1.7843091487884521,-0.07532629370689392,4480,0.1917921006679535
1.1920928955078125e-07,560,29,1.784266710281372,0.10057976096868515,4640,0.2057461440563202
0.0,562,30,1.7842302322387695,-0.20491091907024384,4800,0.01969754323363304
5.424022674560547e-06,564,31,1.7842035293579102,-0.03997574746608734,4960,0.08090949803590775
9.357929229736328e-06,567,32,1.7841713428497314,-0.22941361367702484,5120,0.19851891696453094
0.0,570,33,1.7841484546661377,-0.09105731546878815,5280,0.06134926155209541
0.0,573,34,1.7841135263442993,-0.2135218381881714,5440,0.015601071529090405
0.0,576,35,1.7840888500213623,-0.10294249653816223,5600,0.05355610325932503
5.65648078918457e-05,577,36,1.7840862274169922,-0.1767272651195526,5760,0.1910695880651474
0.0,579,37,1.7840896844863892,-0.21133635938167572,5920,0.014894644729793072
0.0,580,38,1.784088373184204,-0.03315872699022293,6080,0.08204144984483719
0.0,581,39,1.7840893268585205,0.20390157401561737,6240,0.1678226888179779
0.0,582,40,1.7840960025787354,-0.036202386021614075,6400,0.18634609878063202
0.0,584,41,1.7840957641601562,0.016011742874979973,6560,0.09647610038518906
0.0,586,42,1.7840862274169922,0.12147845327854156,6720,0.14163799583911896
-9.655952453613281e-06,587,43,1.7840524911880493,-0.3586113154888153,6880,0.13744457066059113
0.0,588,44,1.7840166091918945,0.11702252924442291,7040,0.1318422257900238
1.7642974853515625e-05,590,45,1.783989667892456,-0.026065336540341377,7200,0.33788180351257324
0.0,593,46,1.7839939594268799,-0.03915776312351227,7360,0.07217918336391449
0.0,592,47,1.7839939594268799,0.10404463112354279,7520,0.2723793089389801
1.3113021850585938e-06,593,48,1.7838633060455322,-0.002282988280057907,7680,0.09040279686450958
0.0,594,49,1.7838199138641357,-0.044468872249126434,7840,0.13090428709983826
-4.410743713378906e-06,594,50,1.7837488651275635,0.264544814825058,8000,0.3737258017063141
