approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0029478217,0.11035156,nan,nan,-0.9003655910491943,110,1,1.7702246,0.0010688173,128,9.292613744735718,1024,0.1514083
0.0018181846,0.12915039,nan,nan,-0.03598463535308838,894,2,1.7703282,-0.00031653146,256,10.438453674316406,2048,0.12096682
0.001957756,0.1081543,nan,nan,-0.01793348789215088,879,3,1.771613,-0.001729851,384,11.60396146774292,3072,0.12455847
0.0021777032,0.123291016,nan,nan,-0.01355135440826416,914,4,1.7596166,-0.002288422,512,12.724358081817627,4096,0.095837414
0.0012598218,0.05078125,nan,nan,-0.027830004692077637,914,5,1.7578825,-0.00022696189,640,13.845099687576294,5120,0.09736411
0.0018280422,0.06518555,762.3333333333334,-21.0,-0.15070486068725586,892,6,1.766148,-0.003326032,768,14.993225812911987,6144,0.10944638
0.0026098655,0.055908203,797.6666666666666,-20.833333333333332,-0.08086562156677246,876,7,1.7708673,-0.0040364587,896,16.16222643852234,7168,0.082041465
0.0022633008,0.1274414,814.1428571428571,-20.571428571428573,0.01980149745941162,897,8,1.7695148,-0.0032671096,1024,17.30340838432312,8192,0.07937602
0.0015965851,0.076660156,848.125,-20.125,0.04751777648925781,898,9,1.7605679,-0.00026201946,1152,18.44326090812683,9216,0.07470439
0.0017070104,0.09448242,848.125,-20.125,0.037210166454315186,913,10,1.7717589,-0.002443349,1280,19.564613580703735,10240,0.0804569
0.002062632,0.10522461,848.125,-20.125,0.08705037832260132,936,11,1.756642,-0.003094936,1408,20.6583034992218,11264,0.07116069
0.0015897688,0.07324219,823.9090909090909,-20.363636363636363,0.0038427114486694336,904,12,1.7625127,-0.0024026453,1536,21.79158091545105,12288,0.06450684
0.0016743356,0.088378906,818.3846153846154,-20.46153846153846,0.06479144096374512,880,13,1.7546663,-0.00043885817,1664,22.95577383041382,13312,0.057407416
0.0024513376,0.075927734,823.0,-20.533333333333335,0.07605457305908203,864,14,1.7499539,-0.0014803343,1792,24.140703439712524,14336,0.053275745
0.0016217649,0.123291016,818.875,-20.5625,0.13467943668365479,881,15,1.7423606,-0.0055509377,1920,25.303614377975464,15360,0.054010767
0.0023129755,0.10571289,818.875,-20.5625,0.1758381724357605,907,16,1.7296382,-0.0032566455,2048,26.432271718978882,16384,0.05390612
0.0008227272,0.013183594,818.875,-20.5625,0.15634822845458984,876,17,1.7324294,-0.00016661276,2176,27.60079550743103,17408,0.054656416
0.0023544538,0.10668945,809.6842105263158,-20.63157894736842,0.15387868881225586,847,18,1.7269727,-0.003368357,2304,28.81044888496399,18432,0.050083086
0.0022676927,0.17700195,807.2,-20.65,0.22054505348205566,878,19,1.7225906,-0.0038576098,2432,29.977168798446655,19456,0.047976147
0.0014809738,0.044677734,806.5217391304348,-20.695652173913043,0.15176689624786377,881,20,1.7194655,-0.0025927434,2560,31.139638900756836,20480,0.047857758
0.0011029576,0.056152344,804.75,-20.708333333333332,0.18780440092086792,853,21,1.7320783,-0.0009049366,2688,32.33960700035095,21504,0.047475204
0.00092298014,0.029785156,804.75,-20.708333333333332,0.1657867431640625,846,22,1.745949,-0.00037996133,2816,33.54956102371216,22528,0.04036525
0.0014915562,0.09643555,804.75,-20.708333333333332,0.15673381090164185,879,23,1.7628515,-0.00091600546,2944,34.7142539024353,23552,0.043631535
0.0017588972,0.09057617,801.2307692307693,-20.73076923076923,0.17126846313476562,851,24,1.7604946,-0.0011522975,3072,35.91721439361572,24576,0.048118085
0.0020789034,0.08569336,800.4642857142857,-20.75,0.12521833181381226,844,25,1.7470257,-0.0013500052,3200,37.13108849525452,25600,0.050584555
0.001633359,0.095214844,800.8275862068965,-20.75862068965517,0.18128901720046997,864,26,1.76038,-0.0009377209,3328,38.316734313964844,26624,0.039770387
0.0029425747,0.13842773,804.9354838709677,-20.774193548387096,0.27597689628601074,846,27,1.752363,-0.0029386724,3456,39.52734446525574,27648,0.044458818
0.0011008155,0.078125,808.71875,-20.75,0.31934159994125366,878,28,1.752231,-0.0024239179,3584,40.693299293518066,28672,0.03424706
0.0012612521,0.06567383,808.71875,-20.75,0.4774097204208374,882,29,1.7408924,-0.0002481852,3712,41.85371994972229,29696,0.027002819
0.0024452875,0.15820312,805.7647058823529,-20.764705882352942,0.3404976725578308,884,30,1.7274871,-0.0022817608,3840,43.01178526878357,30720,0.04080137
0.0021796369,0.107421875,803.3333333333334,-20.77777777777778,0.29676973819732666,835,31,1.6998248,-0.0036601194,3968,44.23791241645813,31744,0.04221725
0.0024932977,0.14208984,802.2162162162163,-20.783783783783782,0.35724103450775146,857,32,1.6721423,-0.004341837,4096,45.433393239974976,32768,0.034927987
0.0017017457,0.10180664,800.0512820512821,-20.794871794871796,0.34683316946029663,899,33,1.6850654,-0.0009031111,4224,46.571778774261475,33792,0.043804016
0.0011873208,0.057861328,799.125,-20.8,0.3870187997817993,889,34,1.6651698,-0.0020598872,4352,47.72311234474182,34816,0.034169585
0.0017425737,0.09765625,799.125,-20.8,0.5073344707489014,904,35,1.6615508,-0.0013860448,4480,48.85652732849121,35840,0.022893941
0.0009046804,0.051757812,797.2857142857143,-20.80952380952381,0.34996551275253296,880,36,1.6692163,-0.0008579194,4608,50.01966667175293,36864,0.041749116
0.0029353616,0.27294922,796.4186046511628,-20.813953488372093,0.3918284773826599,898,37,1.6931455,-0.00538547,4736,51.15947341918945,37888,0.03991055
